stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
110,10102,Stop 77 Hamblynn Rd - North West side,,-34.6913580552173, 138.693754131654,,http://www.adelaidemetro.com.au/stops/view/10102,,,,
111,10103,Stop 77 Hamblynn Rd - South East side,,-34.6913627528871, 138.693925506724,,http://www.adelaidemetro.com.au/stops/view/10103,,,,
112,10104,Stop 73 Peachey Rd - North West side,,-34.6898184263157, 138.669282662674,,http://www.adelaidemetro.com.au/stops/view/10104,,,,
113,10105,Stop 68 Port Wakefield Rd - South West side,,-34.696397175505, 138.569929165493,,http://www.adelaidemetro.com.au/stops/view/10105,,,,
114,10106,Stop 77 Adams Rd - East side,,-34.6914984097203, 138.710035758427,,http://www.adelaidemetro.com.au/stops/view/10106,,,,
115,10107,Stop 76 Hamblynn Rd - North West side,,-34.6927035399476, 138.692911562512,,http://www.adelaidemetro.com.au/stops/view/10107,,,,
116,10108,Stop 77 Adams Rd - West side,,-34.6913407695169, 138.709928910889,,http://www.adelaidemetro.com.au/stops/view/10108,,,,
117,10109,Stop 77D Uley Rd - North East side,,-34.6926591531575, 138.699919447866,,http://www.adelaidemetro.com.au/stops/view/10109,,,,
118,10110,Stop 76 Hamblynn Rd - South East side,,-34.6932630379495, 138.692743773628,,http://www.adelaidemetro.com.au/stops/view/10110,,,,
119,10111,Stop 72 Peachey Rd - East side,,-34.6925382141167, 138.667888459978,,http://www.adelaidemetro.com.au/stops/view/10111,,,,
120,10112,Stop 76F Adams Rd - East side,,-34.6938697853478, 138.708490069337,,http://www.adelaidemetro.com.au/stops/view/10112,,,,
121,10113,Stop 72 Peachey Rd - West side,,-34.6923449639854, 138.667681393794,,http://www.adelaidemetro.com.au/stops/view/10113,,,,
122,10114,Stop 68 Port Wakefield Rd - North East side,,-34.6950757112301, 138.569654843048,,http://www.adelaidemetro.com.au/stops/view/10114,,,,
123,10115,Stop 76C Hanson Rd - South East side,,-34.695161, 138.700356,,http://www.adelaidemetro.com.au/stops/view/10115,,,,
