lng,lat
-87.65368469,41.95332028
-87.65369271,41.95343096
-87.65373336,41.95351536
-87.65378606,41.95358213
-87.65385068,41.95364453
-87.65393908,41.95370264
-87.65407863,41.95373404
-87.65430649,41.95375354
-87.65492939,41.95377495
-87.65557043,41.95376544
-87.65606302,41.95376392
-87.65623502,41.95377379
-87.65634749,41.95380104
-87.65646538,41.95387704
-87.65656532,41.95396623
-87.65664761,41.95404202
-87.65671751,41.95416647
-87.65673984,41.9542995
-87.65673866,41.95441024
-87.65676903,41.95490657
-87.65683673,41.95692259
-87.65689009,41.95861071
-87.65699866,41.96181419
-87.65756347,41.96397046
-87.65758751,41.96427269
-87.65802133,41.96581929
-87.65819034,41.96621846
-87.65831898,41.96650363
-87.65835859,41.96669002
-87.65838428,41.9668815
-87.65842209,41.96745896
-87.65846557,41.96837614
-87.65849296,41.96913894
-87.65848822,41.97117997
-87.65852996,41.97345332
-87.65858793,41.97522799
-87.65866842,41.97798399
-87.65871639,41.97966866
-87.65875047,41.98059282
-87.65879205,41.98184409
-87.65884028,41.98350423
-87.65887359,41.98450197
-87.65898335,41.98760155
-87.65901441,41.98881187
-87.65907586,41.99025949
-87.65908078,41.99083188
-87.65913049,41.99235303
-87.65920228,41.99366426
-87.65918313,41.99463461
-87.65918917,41.99549012
-87.65921122,41.99632273
-87.65925719,41.99722447
-87.65926651,41.99750968
-87.65926768,41.99798342
-87.65930832,41.99822283
-87.65935478,41.99849446
-87.65942551,41.99880303
-87.65947896,41.99899652
-87.65955679,41.99921774
-87.65964699,41.99943444
-87.65977997,41.99968818
-87.65989503,41.99988663
-87.66004709,42.0000853
-87.66021157,42.00027483
-87.66035169,42.00043663
-87.6604919,42.00058923
-87.66067007,42.00075584
-87.66082777,42.00089935
-87.6610607,42.00107336
-87.66142024,42.00136677
-87.66165748,42.00152497
-87.66224922,42.00186888
-87.66288053,42.00226521
-87.66343068,42.00261784
-87.6634618,42.00263791
-87.66404229,42.00308129
-87.66447543,42.00348006
-87.66476825,42.00381535
-87.6649991,42.00414785
-87.66527119,42.00466526
-87.6655256,42.00524967
-87.66571247,42.00585967
-87.66576971,42.00618445
-87.6658316,42.00686606
-87.66590909,42.00836182
-87.66597127,42.0105898
-87.66601382,42.01183289
-87.66605557,42.01226813
-87.66612624,42.01259306
-87.66629817,42.01297382
-87.66663474,42.01354887
-87.6668905,42.01388178
-87.66718331,42.0142149
-87.66769221,42.01466296
-87.66909211,42.01587618
-87.66988213,42.0165768
-87.6703651,42.01697644
-87.67078724,42.01732575
-87.67142086,42.01785004
-87.67177458,42.01814272
-87.67232427,42.01859536
-87.67289245,42.01906322
