-87.6466513,41.8755584,title
-87.6569301,41.8758228,title
-87.6566274,41.8758775,title
-87.6527113,41.8755052,title
-87.6487520,41.8755188,title
-87.6507905,41.8754839,title
-87.6510708,41.8754839,title
-87.6513511,41.8754859,title
-87.6515979,41.8754968,title
-87.6519720,41.8755138,title
-87.6531161,41.8756130,title
-87.6540333,41.8756726,title
-87.6550338,41.8757475,title
-87.6557290,41.8758138,title
-87.6570039,41.8758963,title
-87.6572895,41.8759122,title
-87.6563587,41.8757813,title
-87.6552181,41.8756973,title
-87.6522624,41.8754688,title
-87.6517047,41.8754368,title
-87.6513299,41.8754329,title
-87.6509187,41.8754268,title
-87.6502540,41.8754314,title
-87.6737319,41.9073321,title
-87.6730682,41.9068893,title
-87.6664345,41.9032414,title
-87.6692870,41.9045719,title
-87.6696185,41.9047543,title
-87.7037642,41.9261827,title
-87.6789671,41.9107770,title
-87.6785423,41.9105003,title
-87.6783655,41.9103713,title
-87.6782669,41.9102790,title
-87.6781624,41.9101991,title
-87.6780606,41.9101331,title
-87.6767619,41.9092997,title
-87.6742936,41.9077195,title
-87.7050232,41.9271040,title
-87.7044475,41.9266356,title
-87.7125779,41.9399248,title
-87.7122077,41.9322231,title
-87.7064410,41.9283639,title
-87.7151750,41.9421935,title
-87.6334344,41.8857336,title
-87.8155020,41.8741280,title
-87.8153494,41.8741190,title
-87.8151196,41.8740853,title
-87.8149784,41.8740472,title
-87.8137205,41.8736176,title
-87.8135620,41.8736194,title
-87.8134034,41.8736304,title
-87.8125166,41.8737662,title
-87.8143895,41.8737923,title
-87.8141850,41.8737143,title
-87.8140152,41.8736594,title
-87.8139117,41.8736373,title
-87.8138024,41.8736224,title
-87.8159677,41.8741554,title
-87.8114026,41.8738519,title
-87.8031560,41.8731420,title
-87.7481471,41.8716104,title
-87.7557372,41.8715197,title
-87.7577732,41.8714774,title
-87.7597493,41.8712361,title
-87.7619377,41.8703612,title
-87.7628193,41.8701095,title
-87.7633739,41.8700350,title
-87.7638556,41.8700090,title
-87.7640212,41.8700112,title
-87.8148419,41.8740017,title
-87.8147118,41.8739420,title
-87.6292842,41.8780334,title
-87.8491662,41.9838545,title
-87.8523634,41.9838146,title
-87.8543107,41.9837269,title
-87.8558449,41.9836790,title
-87.8567461,41.9836471,title
-87.8579639,41.9836073,title
-87.8476427,41.9838306,title
-87.8468756,41.9838664,title
-87.8410391,41.9841336,title
-87.8312828,41.9845514,title
-87.8582750,41.9835554,title
-87.8579960,41.9835714,title
-87.8313724,41.9846002,title
-87.8320269,41.9845882,title
-87.8334753,41.9845324,title
-87.8354741,41.9844440,title
-87.8367959,41.9843968,title
-87.8395693,41.9842612,title
-87.8408782,41.9841775,title
-87.8428362,41.9840818,title
-87.8459851,41.9839422,title
-87.8472404,41.9838864,title
-87.8482489,41.9838545,title
-87.8646245,41.9839787,title
-87.8641201,41.9833859,title
-87.8621219,41.9834258,title
-87.8684143,41.9838186,title
-87.8669713,41.9840040,title
-87.8665502,41.9840279,title
-87.8660513,41.9840359,title
-87.8658045,41.9840359,title
-87.8965699,41.9817931,title
-87.8991841,41.9813103,title
-87.8981057,41.9818117,title
-87.8953202,41.9809564,title
-87.8141605,41.9824880,title
-87.7896829,41.9824555,title
-87.8234966,41.9841015,title
-87.8111116,41.9823339,title
-87.8130528,41.9823693,title
-87.7854805,41.9824574,title
-87.8286176,41.9845675,title
-87.8134524,41.9823992,title
-87.8126983,41.9823050,title
-87.8174403,41.9832397,title
-87.8061780,41.9823280,title
-87.8021337,41.9824072,title
-87.8209076,41.9838049,title
-87.8279659,41.9845406,title
-87.8149664,41.9825940,title
